anyo;fecha_exportacion;evaluacion;alumno;ensenanza;curso;contenido;bloque_contenido;nota_numerica;tipo_nota;observacion;capacidades_inf;medidas_inf;borrar;sobreescribir
2022;19/10/2023 16:11:33;01;889726402909de5b29fce2e60e5cd4812c20e773c419c52df505d187c3d5918c;5;2837625936;0176; ;6;146988243; ; ; ;N;N
2022;19/10/2023 16:11:33;EX;889726402909de5b29fce2e60e5cd4812c20e773c419c52df505d187c3d5918c;5;2837625936;0178; ;0;146988218; ; ; ;N;N
2022;19/10/2023 16:11:33;FI;889726402909de5b29fce2e60e5cd4812c20e773c419c52df505d187c3d5918c;5;2837625936;0176; ;6;146988243; ; ; ;N;N
2022;19/10/2023 16:11:33;FO;889726402909de5b29fce2e60e5cd4812c20e773c419c52df505d187c3d5918c;5;2837625936;0184; ;0;466678045; ; ; ;N;N
2022;19/10/2023 16:11:33;02;1c4afcfb6297ec4bbc012003e04e68dc27e2444cb29137638cd98e426afeafa7;5;2837625929;0179; ;9;146988217; ; ; ;N;N
2022;19/10/2023 16:11:33;A7;6ddf5d05e32a588d419c25ad557230e3171645759643900329de3872efca52fe;5;2837626001;0403; ;0;212965884; ;No hay datos guardados;No hay datos guardados;N;N
2022;19/10/2023 16:11:33;P1;6ddf5d05e32a588d419c25ad557230e3171645759643900329de3872efca52fe;5;2837626001;0400; ;6;146988243; ;No hay datos guardados;No hay datos guardados;N;N
2022;19/10/2023 16:11:33;F3;7f64b9777435f7eb34b122a0b95363ed525fd4ab1753b3294e60b4661e66ca9a;5;2837632183;028601; ;0;212965884; ;No hay datos guardados;No hay datos guardados;N;N
2022;19/10/2023 16:11:33;F4;bf45b34d01246863b3eb5ce24b4182fc6634555fe5b5b9f8b7d425309b9a7a72;5;2837632183;028601; ;0;212965884; ;No hay datos guardados;No hay datos guardados;N;N
2022;19/10/2023 16:11:33;FC;adf8ad0aec17f374337fd4e4eb05c9e0deb16cbf87909ce2bde8e57181bfa3cf;5;2837629455;0451; ;0;212965884; ;No hay datos guardados;No hay datos guardados;N;N
2022;19/10/2023 16:11:33;A8;8c80bf453688de30847589009f395b61dd37eeeb233952e5c4643d752935590b;5;2837633062;0619; ;0;212965884; ; ; ;N;N
2022;19/10/2023 16:11:33;PO;07b3c73e2701c94b39c4b7b2198ef8b9e765b24dccc6d859a1cc8cb89bb3691d;5;2837633062;0616; ;9;146988217; ; ; ;N;N
2022;19/10/2023 16:11:33;F2;468a26ce14df08fd9be703371767780427d3d16464accef4fed41bba4f37d226;5;2837632598;1378; ;0;212965884; ;No hay datos guardados;No hay datos guardados;N;N
2022;19/10/2023 16:11:33;PE;8026f0f6cfbcc5c1aaf2d4de73f1c31b099ee5958cb96615844759679b042a53;5;2837629533;0657; ;5;146988215; ; ; ;N;N
2022;19/10/2023 16:11:33;F7;47235fd120162408e3f25b844ce530d6b0ccdedd83ad552ca137317df6267bea;5;2837632183;028601; ;0;212965884; ;No hay datos guardados;No hay datos guardados;N;N
2022;19/10/2023 16:11:33;A9;ce595072861911eb80de074d70641e0f28f6b3ab9e0d52a75ca58403ce671b4d;5;2837629455;0451; ;0;212965884; ;No hay datos guardados;No hay datos guardados;N;N
